,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,logit_score
2921,2921,Portugal,"Light and bright, this has a crisp prickle on the tongue, along with canned grapefruit and tight apple-skin flavors. It is almost dry, which gives the wine a mineral texture that adds a bite. Drink now.",QM Blue,86,9.0,Vinho Verde,,,Roger Voss,@vossroger,Quintas de Melgaço 2013 QM Blue White (Vinho Verde),Portuguese White,Quintas de Melgaço,0
3407,3407,Portugal,"There is an attractive, light prickle on the tongue of this fresh, crisp and fruity wine. It is dry, tensely tangy with a green, zesty character. Drink now.",Seafood & Co,84,12.0,Vinho Verde,,,Roger Voss,@vossroger,Wine with Spirit 2014 Seafood & Co White (Vinho Verde),Portuguese White,Wine with Spirit,0
3421,3421,Portugal,"This light, bright wine comes from the north of the Vinho Verde region. It has freshly squeezed lemon juice with a touch of lime zest as well as spice. The lightest prickle on the tongue gives the wine a final lift.",QM Terra Antiga,86,,Vinho Verde,,,Roger Voss,@vossroger,Quintas de Melgaço 2014 QM Terra Antiga White (Vinho Verde),Portuguese White,Quintas de Melgaço,0
3640,3640,Portugal,Aromas of strawberry sherbet are followed by sweet candy-shop flavors on the palate. Chill it thoroughly before drinking. Screwcap.,Estreia,80,8.0,Vinho Verde,,,Roger Voss,@vossroger,Viniverde 2011 Estreia Rosé (Vinho Verde),Rosé,Viniverde,0
3945,3945,Portugal,"A soft Vinho Verde, with white fruit flavors, only light acidity and some final sweetness. An attractive apéritif.",Clemens Reserva,83,14.0,Vinho Verde,,,Roger Voss,@vossroger,Wines & Winemakers 2010 Clemens Reserva White (Vinho Verde),Portuguese White,Wines & Winemakers,0
3950,3950,Portugal,"On the dry side, with caramel and strawberry flavors, this is an attractive, bright rosé, as fresh as they come.",Escolha,83,5.0,Vinho Verde,,,Roger Voss,@vossroger,Adega Cooperativa Ponte de Barca 2010 Escolha Rosé (Vinho Verde),Rosé,Adega Cooperativa Ponte de Barca,0
4090,4090,Portugal,"Named for the 14th-century English princess who married the Portuguese king, this is a soft and rounded style of Vinho Verde. It has yellow fruits, melon and pear flavors and a full texture. Drink this food-friendly wine now.",Filipa de Lencastre,86,,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vila Nova 2013 Filipa de Lencastre White (Vinho Verde),Portuguese White,Casa de Vila Nova,0
4218,4218,Portugal,"This crisply fruity wine is primarily composed of the local Loureiro grape. It is light, bright, dry and full of citrus flavors. Drink now.",Animus Branco,87,11.0,Vinho Verde,,,Roger Voss,@vossroger,Vicente Faria Vinhos 2016 Animus Branco White (Vinho Verde),Portuguese White,Vicente Faria Vinhos,0
4449,4449,Portugal,"There is a light prickle to this freshly crisp and dry rosé. It bursts with raspberry and red currant flavors, tangy acidity and a lively finish.",Muralhas de Monção,85,,Vinho Verde,,,Roger Voss,@vossroger,Adega de Monção 2011 Muralhas de Monção Rosé (Vinho Verde),Rosé,Adega de Monção,0
4909,4909,Portugal,"From the Vinho Verde subregion of Monção and Melgaço, this intense, bone-dry wine captures the richness of Alvarinho while not losing sight of its fresh lemon and crisp apple side. It has a tight texture that suggests the wine is still young, so drink from late 2016.",Muros Antigos,91,,Vinho Verde,,,Roger Voss,@vossroger,Anselmo Mendes 2014 Muros Antigos Alvarinho (Vinho Verde),Alvarinho,Anselmo Mendes,1
4917,4917,Portugal,"This delicious blend of Alvarinho and Trajadura comes from the northern part of the Vinho Verde region. The flavors are ripe yet crisp, with notes of apple and pink grapefruit. The acidity is prominent, yet well integrated into the rich fruitiness. Drink now.",Varanda do Conde,91,,Vinho Verde,,,Roger Voss,@vossroger,Provam 2014 Varanda do Conde White (Vinho Verde),Portuguese White,Provam,1
5406,5406,Portugal,"Ripe Alvarinho gives a wine that is rich as well as crisp and dry. This wine, with its hints of apricot as well as citrus fruits has a piercing line of acidity along with the tangy texture and ripe aftertaste. It is ready to drink.",,88,,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2015 Alvarinho (Vinho Verde),Alvarinho,Aveleda,0
5411,5411,Portugal,"Vineyards just across the hills from the Douro have produced this ripe wine. It has fine acidity that gives freshness to the apple, peach and ripe pear fruits. The aftertaste is bright, tight with minerality and citrus. Drink now.",Branco,88,13.0,Vinho Verde,,,Roger Voss,@vossroger,Casa do Valle 2015 Branco White (Vinho Verde),Portuguese White,Casa do Valle,0
6024,6024,Portugal,"A blend of the two major grapes of the region, Alvarinho and Loureiro, and grown at the home estate of the producer, this is delicious Vinho Verde. It is dry, crisp, light and piercingly bright, perfect either as an apéritif or with seafood. Drink now.",Quinta da Aveleda,90,10.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2016 Quinta da Aveleda White (Vinho Verde),Portuguese White,Aveleda,1
6209,6209,Portugal,"This is an off-dry and lightly structured wine that has a crisp, mineral texture. It is bright, with citrus and apple notes that are cut by tangy lemon peel. The finish is tight and direct; drink now.",Pluma,85,,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vila Verde 2014 Pluma White (Vinho Verde),Portuguese White,Casa de Vila Verde,0
6219,6219,Portugal,"Light, fruity and off dry, this is a fresh and crisp wine. It has sweetened lemon juice flavors that are cut by intense, young acidity. Balanced and ready to drink now.",Salsus Lua Cheia em Vinhas Velhas,85,10.0,Vinho Verde,,,Roger Voss,@vossroger,Wines & Winemakers 2014 Salsus Lua Cheia em Vinhas Velhas White (Vinho Verde),Portuguese White,Wines & Winemakers,0
6961,6961,Portugal,"This blend is dominated by one of the two grapes of Vinho Verde: the Loureiro. That gives both a crisp texture and ripe apple and green-plum fruits. It is a ripe wine, juicy and ready to drink now.",,86,10.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Paços 2016 White (Vinho Verde),Loureiro-Arinto,Quinta de Paços,0
7044,7044,Portugal,"With a light prickle on the tongue, this is a fresh and fruity wine that has sweetness balanced by a citric edge. It's crisp and ready to drink.",Casal da Seara,84,6.0,Vinho Verde,,,Roger Voss,@vossroger,Campelo 2014 Casal da Seara White (Vinho Verde),Portuguese White,Campelo,0
7049,7049,Portugal,"A sweet rosé that is light and fresh from the crisp raspberry acidity. It is bright and fruity, ready to drink.",Lagar,84,12.0,Vinho Verde,,,Roger Voss,@vossroger,Quintas de Melgaço 2014 Lagar Rosé (Vinho Verde),Rosé,Quintas de Melgaço,0
7556,7556,Portugal,"From the far north of the Vinho Verde region, the rich and creamy wine balances acidity, green plum and crisp minerality. Aromatic, elegant, fresh.",Touquinheiras,90,17.0,Vinho Verde,,,Roger Voss,@vossroger,Wines & Winemakers 2009 Touquinheiras White (Vinho Verde),Portuguese White,Wines & Winemakers,1
7611,7611,Portugal,"A light spritz gives this wine some of the character of club soda and lime, with a slight brinyness to add interest.",Casal Garcia,82,6.0,Vinho Verde,,,Joe Czerwinski,@JoeCz,Quinta da Aveleda NV Casal Garcia White (Vinho Verde),White Blend,Quinta da Aveleda,0
7906,7906,Portugal,"A sweet Vinho Verde, it is light, fruity and perfect for the summer. With crisp acidity, a lively, frothy texture and a clean apple aftertaste, it can be drunk now.",Arca Nova,84,8.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta das Arcas 2013 Arca Nova White (Vinho Verde),Portuguese White,Quinta das Arcas,0
7920,7920,Portugal,"This wine has all the freshness of the grape, along with ripe, full lemon and red apple flavors. There is a strongly tangy character, a mineral texture from the granite soil and refreshing final acidity. Drink from summer 2016.",Muros de Melgaço,90,,Vinho Verde,,,Roger Voss,@vossroger,Anselmo Mendes 2014 Muros de Melgaço Alvarinho (Vinho Verde),Alvarinho,Anselmo Mendes,1
8162,8162,Portugal,"For a Vinho Verde, this is smooth. With the a creamy texture along with bread fruit and lime flavors, the wine is soft. There is acidity to give a lift perfectly judged to keep this attractively crisp at the end. Drink now.",QM Terra Antiga,87,13.0,Vinho Verde,,,Roger Voss,@vossroger,Quintas de Melgaço 2016 QM Terra Antiga White (Vinho Verde),Portuguese White,Quintas de Melgaço,0
8171,8171,Portugal,"In praise in the Loureiro grape, this dry wine has lively acidity while also having a ripe full texture of apples and pink grapefruit. The wine is crisp and intensely fruity. Drink now and until early 2018.",Maria Bonita,87,12.0,Vinho Verde,,,Roger Voss,@vossroger,Wines & Winemakers 2016 Maria Bonita Loureiro (Vinho Verde),Loureiro,Wines & Winemakers,0
8628,8628,Portugal,"Alvarinho from the northern Vinho Verde region lends itself to bubbles with its naturally crisp character. It gives a wine that has a tight mineral texture that lifts the citrus and green-apple fruits. The wine, packed with acidity, is ready to drink.",Reserva Bruto Natural,86,25.0,Vinho Verde,,,Roger Voss,@vossroger,J. Portugal Ramos 2014 Reserva Bruto Natural Alvarinho (Vinho Verde),Alvarinho,J. Portugal Ramos,0
8727,8727,Portugal,"Crisp and green, this has a ripe, rounded apple flavor that lends the wine richness. There is a yeasty character to go with the fruitiness, while the refreshing acidity lasts through the finish.",,87,,Vinho Verde,,,Roger Voss,@vossroger,Vera 2011 Alvarinho (Vinho Verde),Alvarinho,Vera,0
9097,9097,Portugal,"A Vinho Verde with some weight from the ripe pear and grapefruit-flavored fruit. It is bone dry, very fresh, the intensity of flavors turning this into a fine food wine.A Vinho Verde with some weight from the ripe pear and grapefruit-flavored fruit. It is bone dry, very fresh, the intensity of flavors turning this into a fine food wine.",,88,,Vinho Verde,,,Roger Voss,@vossroger,Adega Cooperativa Ponte de Lima 2009 Loureiro (Vinho Verde),Loureiro,Adega Cooperativa Ponte de Lima,0
9586,9586,Portugal,"Crisp, not quite dry, this incorporates lively, fruity Loureiro grapes with a touch of Trajadura and Arinto culled from Lima Valley vineyards. With its light squeeze of lemon and sliced apple and grapefruit flavors, it's all about freshness. Drink now.",Ponte,85,10.0,Vinho Verde,,,Roger Voss,@vossroger,Adega Cooperativa Ponte de Lima 2013 Ponte White (Vinho Verde),Portuguese White,Adega Cooperativa Ponte de Lima,0
9733,9733,Portugal,"Produced from the vines that surround the family house at Quinta da Aveleda, this is an exemplary Vinho Verde. Dry and crisp, with richness as well as freshness, it is a bright, tight and lightly mineral wine to drink now.",Quinta da Aveleda Estate Bottled,90,9.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2014 Quinta da Aveleda Estate Bottled White (Vinho Verde),Portuguese White,Aveleda,1
10074,10074,Portugal,"From old vines trained on high trellises, this fruity wine is bright with citrusy acidity and lemon zest-like texture. Its creamier side emerges as the wine develops in the glass. Best to wait until 2018.",Nostalgia,88,23.0,Vinho Verde,,,Roger Voss,@vossroger,Wines & Winemakers 2015 Nostalgia Alvarinho (Vinho Verde),Alvarinho,Wines & Winemakers,0
10217,10217,Portugal,"A fairly full, rich and creamy version of Vinho Verde, with floral and anise aromas. Big and yet refreshing, sparked by some lively spritz. The finish echoes the anise and blends in some bright lime notes as well.",Couto de Frades,85,10.0,Vinho Verde,,,Joe Czerwinski,@JoeCz,Quintas de Melgaço 1998 Couto de Frades Alvarinho (Vinho Verde),Alvarinho,Quintas de Melgaço,0
10570,10570,Portugal,This is called sweet and that's what it is. The candied sweetness is balanced by some acidity to keep the wine crisp and fruity. It will be fine as an apéritif. Drink now.,Casal Garcia Sweet,84,8.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda NV Casal Garcia Sweet White (Vinho Verde),Portuguese White,Aveleda,0
10996,10996,Portugal,"This wine, one in a series featuring the Avesso grape, is a blend of two of the major Vinho Verde grapes. Avesso comes from the south of Vinho Verde; Loureiro is from the central section. The wine is ripe, rounded and full of apple, pear and green-plum fruits. The aftertaste is crisp and tangy.",Avesso & Loureiro,90,13.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vilacetinho 2016 Avesso & Loureiro White (Vinho Verde),Portuguese White,Casa de Vilacetinho,1
11592,11592,Portugal,"Lightly sweet, this is a soft, gently fruity wine with a prickle on the tongue and fruit-drop acidity. Screwcap.",Casal Garcia,83,8.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2012 Casal Garcia Rosé (Vinho Verde),Portuguese Rosé,Aveleda,0
11995,11995,Portugal,"The merest prickle on the tongue adds to the freshness of this crisp, clean, lightly sweet wine. Very fruity, it conveys apples and citrus, with a soft, fragrant aftertaste.",Salsus,85,9.0,Vinho Verde,,,Roger Voss,@vossroger,Wines & Winemakers 2013 Salsus White (Vinho Verde),Portuguese White,Wines & Winemakers,0
12422,12422,Portugal,Simaens has produced a ripe style of wine here. Apple and rich citrus flavors add a delicious touch to tropical fruit flavors. This wine is fit for drinking in the next few months.,Quinta de Simaens,87,13.0,Vinho Verde,,,Roger Voss,@vossroger,Borges 2011 Quinta de Simaens White (Vinho Verde),Portuguese White,Borges,0
12761,12761,Portugal,"A bright, citrusy, crisp, off-dry Vinho Verde. It is the perfect aperitif wine with its light texture, slight fizz and a delicious lemon and grapefruit aftertaste.",Cruzeiro Branco,85,9.0,Vinho Verde,,,Roger Voss,@vossroger,Vinhos Norte 2010 Cruzeiro Branco White (Vinho Verde),Portuguese White,Vinhos Norte,0
12831,12831,Portugal,"The name is not a Portuguese greeting, but a blending of Alvarinho and Loureiro, the grapes in the wine. It is a rich, juicy wine full of apricot, apple and pear flavors. It has just the right amount of tangy texture and refreshing acidity. The wine is fruity, perfumed and bright.",Allo,88,13.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Soalheiro 2015 Allo White (Vinho Verde),Portuguese White,Quinta de Soalheiro,0
13385,13385,Portugal,"The producer is based in the Monção and Melgaço region of northern Vinho Verde. It is crisp—so fresh and cut with apple and citrus acidity. Light and poised, it has just the lightest touch of wood from the short oak aging. Drink now.",Portal do Fidalgo,92,16.0,Vinho Verde,,,Roger Voss,@vossroger,Provam 2015 Portal do Fidalgo Alvarinho (Vinho Verde),Alvarinho,Provam,1
13416,13416,Portugal,"Attractive lemon-flavored citrus character with light acidity. This is a classic, creamy wine with a fresh aftertaste. A drink now wine. Screw cap.",Cape Roca Fish,86,16.0,Vinho Verde,,,Roger Voss,@vossroger,Casca Wines 2009 Cape Roca Fish White (Vinho Verde),Portuguese White,Casca Wines,0
13434,13434,Portugal,"The Loureiro is the grape of the Lima Valley subregion in Vinho Verde. The texture of the wine is rounded and creamy, although the crisp green fruits give a great bright lift to this delicious, fresh wine.",,90,15.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta do Ameal 2009 Loureiro (Vinho Verde),Loureiro,Quinta do Ameal,1
14022,14022,Portugal,"Predominantly Loureiro, this is rich, ripe wine. It has a sunny character, ripe with green plums and apples and lightly shot with acidity. It is aromatic, fresh and ready to drink.",Calçada Terroir Loureiro-Alvarinho,88,18.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta da Calçada 2015 Calçada Terroir Loureiro-Alvarinho White (Vinho Verde),Portuguese White,Quinta da Calçada,0
14192,14192,Portugal,"This wood-aged Vinho Verde is a world away from the light and sweetened wines. It is rich, almost Chardonnay-like in its smooth, creamy character. At the same time, it still shows its origin in its tight acidity and a crisp aftertaste. Drink now, or better in a year.",Grande Escolha,90,17.0,Vinho Verde,,,Roger Voss,@vossroger,Casa do Valle 2013 Grande Escolha White (Vinho Verde),Portuguese White,Casa do Valle,1
14555,14555,Portugal,"One of the classic brands of Vinho Verde, this is still one of the best. It has great fruitiness and crisp acidity, only just off dry. Lemon sherbet and fresh orange zest give a delicious lift to the finish.",Casal Garcia Branco,84,8.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2014 Casal Garcia Branco White (Vinho Verde),Portuguese White,Aveleda,0
15321,15321,Portugal,"From the northern Vinho Verde region of Melgaço which is the natural heartland of Alvarinho, this tangy, fruity wine bursts with acidity and creamed apple flavors. It is still young, a lively and fruity wine that will benefit from some calming down and broadening out. Drink from the end of 2015.",Toucas,89,19.0,Vinho Verde,,,Roger Voss,@vossroger,Wines & Winemakers 2013 Toucas Alvarinho (Vinho Verde),Alvarinho,Wines & Winemakers,0
15343,15343,Portugal,"Apples and strawberry combine easily in this soft, fresh rosé. It's fruity, light, with a slight prickle in the mouth.",Casal Garcia,84,8.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2010 Casal Garcia Rosé (Vinho Verde),Rosé,Aveleda,0
15741,15741,Portugal,"This 100% Alvarinho comes from the grape's heartland in the north of the Vinho Verde region. It is crisp while also having concentrated green and citrus fruits, a rich mineral texture and layers of beautifully refreshing acidity. Drink this wine from 2018.",Santos da Casa Reserva,91,15.0,Vinho Verde,,,Roger Voss,@vossroger,Santos & Seixo 2016 Santos da Casa Reserva Alvarinho (Vinho Verde),Alvarinho,Santos & Seixo,1
15945,15945,Portugal,"Named after the 13th-century house at the center of the estate, this is a rich, full-bodied wine. With citrus flavors at its heart, it also shows a texture that gives minerality from the granite soil, followed by juicy yellow fruits and finishing with intense acidity. Give this wine until mid-2015 to settle down.",Casa do Capitão-mor,90,18.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Paços 2013 Casa do Capitão-mor Alvarinho (Vinho Verde),Alvarinho,Quinta de Paços,1
17719,17719,Portugal,"This light, bright and very fruity wine almost dances on the palate. Peach and apple skin flavors bring out a crisp, green acidity. A touch of minerality and texture give the wine character. Drink now.",Aphros Ten,87,,Vinho Verde,,,Roger Voss,@vossroger,Casal Paço Padreiro 2012 Aphros Ten Loureiro (Vinho Verde),Loureiro,Casal Paço Padreiro,0
17801,17801,Portugal,"Alvarinho with a prickle is unusual, as is a Vinho Verde that has been aged an extra year before release. The wine doesn't quite work because it has lost its fruit and developed a strong pepper and spice character. The acidity at the end is the most characteristic part of the wine.",,85,17.0,Vinho Verde,,,Roger Voss,@vossroger,Conde Villar 2014 Alvarinho (Vinho Verde),Alvarinho,Conde Villar,0
18979,18979,Portugal,"Fresh, crisp and fruity, this is a citrus and apple-flavored medium-dry wine. With plenty of acidity, bright and packed with easy fruitiness, the wine is ready to drink.",Casal Garcia Branco,84,8.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda NV Casal Garcia Branco White (Vinho Verde),Portuguese White,Aveleda,0
18995,18995,Portugal,"This is made from the most widely planted red grape in Vinho Verde, Vinhão. It is soft and juicy with a ripe character and almond and caramel flavors. Drink now.",Casa de Paços,84,9.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Paços 2016 Casa de Paços Rosé (Vinho Verde),Rosé,Quinta de Paços,0
19485,19485,Portugal,"Crisp apples, touched with some sweetness, but finely clean and fresh, this is a great apéritif style of Vinho Verde, finishing with just a sparkle. Screwcap.",Twin Vines,85,9.0,Vinho Verde,,,Roger Voss,@vossroger,José Maria da Fonseca 2006 Twin Vines White (Vinho Verde),Portuguese White,José Maria da Fonseca,0
20197,20197,Portugal,"The Aveleda estate is the source of the fruit for this dry, delicious Vinho Verde. It's a reference for the food-friendly, lemon and grapefruit style, adding minerality and a taut texture to the forward fruitiness. Drink this summer, or hold for up to six months.",Quinta da Aveleda Estate Bottled,90,9.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2012 Quinta da Aveleda Estate Bottled White (Vinho Verde),Portuguese White,Aveleda,1
21285,21285,Portugal,This wine is all about fruit. It is dry and so fresh and crisp with apple and green pear flavors. There is a light prickle there that adds a dancing lightness to this refreshing wine.,QM Terra Antiga,87,10.0,Vinho Verde,,,Roger Voss,@vossroger,Quintas de Melgaço 2015 QM Terra Antiga White (Vinho Verde),Portuguese White,Quintas de Melgaço,0
22020,22020,Portugal,This is a fruity wine with a off-dry character that is balanced by lime and lemon fruitiness. The acidity and the tangy herbal character give the wine an attractive bite. Drink now.,Lagosta,86,8.0,Vinho Verde,,,Roger Voss,@vossroger,Caves Velhas NV Lagosta White (Vinho Verde),Portuguese White,Caves Velhas,0
22035,22035,Portugal,"The wine is attractive with its ripe apple flavors and shot of lemon. It is off dry, with a fruity character that makes it a great apéritif wine. Drink now.",Vinhas Altas,86,,Vinho Verde,,,Roger Voss,@vossroger,Enoport 2016 Vinhas Altas White (Vinho Verde),Portuguese White,Enoport,0
22042,22042,Portugal,There is a crisp spring in this wine— light and bright with great acidity and a touch of sweetness. It has a light prickle on the tongue that adds to the liveliness of this attractive wine.,Bote Branco,86,10.0,Vinho Verde,,,Roger Voss,@vossroger,Casca Wines 2016 Bote Branco White (Vinho Verde),Portuguese White,Casca Wines,0
22056,22056,Portugal,"This is classic, off-dry Vinho Verde. With its light prickle, crisp fruit that has a tangy lime and lemon character that comes through the candy flavor, it is a refreshing, light wine.",Casal Garcia,85,8.0,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2015 Casal Garcia White (Vinho Verde),Portuguese White,Aveleda,0
22782,22782,Portugal,"From the granite soil of the northern area of Vinho Verde, this rich, structured and dense bottling is far from the conventional view of Vinho Verde. It is a powerful, ripe, apricot and peach flavored wine that is strongly mineral and concentrated. Drink now, but the wine will improve for several years.",Granito Cru,90,45.0,Vinho Verde,,,Roger Voss,@vossroger,Luis Seabra 2013 Granito Cru Alvarinho (Vinho Verde),Alvarinho,Luis Seabra,1
22918,22918,Portugal,"Tight, taut, crisp and mineral in character, this is the epitome of a lemon-flavored wine. It is totally fresh, bright and full of green fruits and a tangy character. One in a series of single variety wines from Vilacetinho.",,88,15.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vilacetinho 2012 Arinto (Vinho Verde),Arinto,Casa de Vilacetinho,0
22989,22989,Portugal,"This is light—the Ten in the name refers to its alcohol level—dry, crisp and fragrantly fresh. It is citrus dominant and deliciously refreshing—a wine that livens up the palate.",Aphros Ten,87,14.0,Vinho Verde,,,Roger Voss,@vossroger,Casal Paço Padreiro 2011 Aphros Ten Loureiro (Vinho Verde),Loureiro,Casal Paço Padreiro,0
23117,23117,Portugal,"From the northern part of Vinho Verde, this wine is produced from old vines that have been trained on traditional high trellises. It is full of citrus, ripe lemon and lime along with a crisp mineral texture. Its acidity is both tense and refreshing, allowing the wine a chance to age. Drink from 2018.",Nostalgia,89,23.0,Vinho Verde,,,Roger Voss,@vossroger,Wines & Winemakers 2016 Nostalgia Alvarinho (Vinho Verde),Alvarinho,Wines & Winemakers,0
23163,23163,Portugal,"This is a ripe and creamy wine, with a smooth texture that is finely cut by peach and lemon curd flavors. Coming from the classic Alvarinho region in the north of Vinho Verde, next to Spain, this is a ripe, full wine that can be enjoyed now.",Casa do Capitão-mor,90,,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Paços 2014 Casa do Capitão-mor Alvarinho (Vinho Verde),Alvarinho,Quinta de Paços,1
23226,23226,Portugal,"There is a slight pepper character in this wine with its ripe fruits and fresh acidity. The result is a balanced wine that is not just about fruitiness but also full of character and with some complexity. The wine can be drunk now, although it will be better from the end of 2016.",,90,17.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Soalheiro 2015 Alvarinho (Vinho Verde),Alvarinho,Quinta de Soalheiro,1
23422,23422,Portugal,"A sugar water style of Vinho Verde, all sweetness and acidity. It is fresh and clean, very crisp and green.",,82,9.0,Vinho Verde,,,Roger Voss,@vossroger,Vidigal 2013 White (Vinho Verde),Portuguese White,Vidigal,0
23721,23721,Portugal,"This wine is fresh, fruity and crisp. It has delicious, young citrus flavors that are bursting with energy and life. Aromatic and textured, with mineral hints, this is a delicious, refreshing wine to drink now.",,88,10.0,Vinho Verde,,,Roger Voss,@vossroger,J. Portugal Ramos 2014 Loureiro (Vinho Verde),Loureiro,J. Portugal Ramos,0
